SchoolYear,ISD_Code,ISD_OfficialName,DistrictCode,DistrictOfficialName,BuildingCode,BuildingOfficialName,CharterName,EntityType,IHE_Type,Subgroup,Gender,Total_Graduates_All_Students,Total_Enrolled_in_an_IHE_within_0_6_months,Total_%_Enrolled_in_an_IHE_within_0_6_months,Total_Enrolled_in_an_IHE_within_0_12_months,Total_%_Enrolled_in_an_IHE_within_0_12_months,Total_Enrolled_in_an_IHE_within_0_16_months,Total_%_Enrolled_in_an_IHE_within_0_16_months,Total_Enrolled_in_an_IHE_within_0_24_months,Total_%_Enrolled_in_an_IHE_within_0_24_months,Total_Enrolled_in_an_IHE_within_0_36_months,Total_%_Enrolled_in_an_IHE_within_0_36_months,Total_Enrolled_in_an_IHE_within_0_48_months,Total_%_Enrolled_in_an_IHE_within_0_48_months,Total_Accumulating_24_Credits_within_0_12_months,Total_%_Accumulating_24_Credits_within_0_12_months,Total_Accumulating_24_Credits_within_0_16_months,Total_%_Accumulating_24_Credits_within_0_16_months,Total_Accumulating_24_Credits_within_0_24_months,Total_%_Accumulating_24_Credits_within_0_24_months,Total_Accumulating_24_Credits_within_0_36_months,Total_%_Accumulating_24_Credits_within_0_36_months,Total_Accumulating_24_Credits_within_0_48_months,Total_%_Accumulating_24_Credits_within_0_48_months
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,All Students,Female,179,40,22.3464,42,23.4637,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,African American,Male,141,23,16.3121,32,22.695,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,Economically Disadvantaged,All Students,212,94,44.3396,101,47.6415,,,,,,,,,30,14.1509,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,African American,Male,141,59,41.844,68,48.227,,,,,,,,,20,14.1844,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,Homeless,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,African American,Male,141,36,25.5319,36,25.5319,,,,,,,,,19,13.4752,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,African American,All Students,320,157,49.0625,168,52.5,,,,,,,,,53,16.5625,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,Asian,All Students,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,African American,Female,179,58,32.4022,58,32.4022,,,,,,,,,30,16.7598,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,African American,Female,179,98,54.7486,100,55.8659,,,,,,,,,33,18.4358,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,All Students,Male,145,25,17.2414,34,23.4483,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,African American,All Students,320,63,19.6875,74,23.125,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,All Students,All Students,324,94,29.0124,94,29.0124,,,,,,,,,49,15.1235,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,All Students,All Students,324,65,20.0617,76,23.4568,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,African American,Female,179,40,22.3464,42,23.4637,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,Economically Disadvantaged,All Students,212,52,24.5283,52,24.5283,,,,,,,,,25,11.7925,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,Economically Disadvantaged,All Students,212,42,19.8113,49,23.1132,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,Asian,Male,<10,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,White,Male,<10,<10,>95%,<10,>95%,,,,,,,,,<10,50,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,Homeless,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,Students With Disabilities,All Students,31,<10,22.5807,10,32.2581,,,,,,,,,<10,9.6774,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,All Students,Female,179,58,32.4022,58,32.4022,,,,,,,,,30,16.7598,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Four Year,African American,All Students,320,94,29.375,94,29.375,,,,,,,,,49,15.3125,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,English Learners,All Students,<10,<10,33.3333,<10,33.3333,,,,,,,,,<10,33.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,Two Year,Students With Disabilities,All Students,31,<10,9.6774,<10,19.3548,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1043,King High School,,LEA School,All,English Learners,All Students,<10,<10,33.3333,<10,33.3333,,,,,,,,,<10,33.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,African American,All Students,288,39,13.5417,53,18.4028,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,African American,All Students,288,81,28.125,95,32.9861,,,,,,,,,24,8.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,All Students,Male,125,11,8.8,18,14.4,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,All Students,Male,125,27,21.6,34,27.2,,,,,,,,,10,8,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,African American,Male,125,16,12.8,16,12.8,,,,,,,,,10,8,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,African American,Female,163,54,33.1288,61,37.4233,,,,,,,,,14,8.589,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,Economically Disadvantaged,All Students,183,26,14.2077,34,18.5792,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,All Students,Female,163,28,17.1779,35,21.4724,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,All Students,All Students,288,81,28.125,95,32.9861,,,,,,,,,24,8.3333,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,Students With Disabilities,All Students,41,<10,9.7561,<10,19.5122,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,Economically Disadvantaged,All Students,183,25,13.6612,25,13.6612,,,,,,,,,10,5.4645,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,All Students,Male,125,16,12.8,16,12.8,,,,,,,,,10,8,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,All Students,All Students,288,39,13.5417,53,18.4028,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,African American,All Students,288,42,14.5833,42,14.5833,,,,,,,,,22,7.6389,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,African American,Male,125,11,8.8,18,14.4,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,All Students,Female,163,26,15.9509,26,15.9509,,,,,,,,,12,7.362,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,Students With Disabilities,All Students,41,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,African American,Male,125,27,21.6,34,27.2,,,,,,,,,10,8,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,All Students,All Students,288,42,14.5833,42,14.5833,,,,,,,,,22,7.6389,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,African American,Female,163,28,17.1779,35,21.4724,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,All Students,Female,163,54,33.1288,61,37.4233,,,,,,,,,14,8.589,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,All,Economically Disadvantaged,All Students,183,51,27.8689,59,32.2404,,,,,,,,,10,5.4645,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Four Year,African American,Female,163,26,15.9509,26,15.9509,,,,,,,,,12,7.362,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,1189,East English Village Preparatory Academy,,LEA School,Two Year,Students With Disabilities,All Students,41,<10,7.3171,<10,17.0732,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Four Year,Economically Disadvantaged,All Students,83,10,12.0482,11,13.253,,,,,,,,,<10,7.2289,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,Economically Disadvantaged,All Students,83,34,40.9639,35,42.1687,,,,,,,,,<10,10.8434,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,Students With Disabilities,All Students,20,<10,30,<10,30,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,Hispanic/Latino,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,All Students,Female,49,23,46.9388,24,48.9796,,,,,,,,,<10,16.3265,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,All Students,Male,58,13,22.4138,13,22.4138,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,All Students,Male,58,16,27.5862,17,29.3103,,,,,,,,,<10,6.8966,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,African American,Female,48,12,25,12,25,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,All Students,All Students,107,26,24.2991,26,24.2991,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,Hispanic/Latino,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,English Learners,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,Students With Disabilities,All Students,20,<10,30,<10,30,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,All Students,All Students,107,39,36.4486,41,38.3178,,,,,,,,,12,11.215,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,Economically Disadvantaged,All Students,83,24,28.9157,24,28.9157,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,Hispanic/Latino,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,African American,All Students,106,25,23.5849,25,23.5849,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Four Year,African American,Male,58,<10,5.1724,<10,6.8966,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,African American,Male,58,13,22.4138,13,22.4138,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,African American,All Students,106,38,35.8491,40,37.7359,,,,,,,,,12,11.3208,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,African American,Female,48,22,45.8333,23,47.9167,,,,,,,,,<10,16.6667,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Four Year,All Students,All Students,107,13,12.1495,15,14.0187,,,,,,,,,<10,7.4766,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,African American,Male,58,16,27.5862,17,29.3103,,,,,,,,,<10,6.8966,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Four Year,All Students,Female,49,10,20.4082,11,22.449,,,,,,,,,<10,12.2449,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Two Year,All Students,Female,49,13,26.5306,13,26.5306,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,All,Hispanic/Latino,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Four Year,All Students,Male,58,<10,5.1724,<10,6.8966,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Four Year,African American,All Students,106,13,12.2642,15,14.1509,,,,,,,,,<10,7.5472,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,2778,Detroit Collegiate Preparatory High School @ Northwestern,,LEA School,Four Year,African American,Female,48,10,20.8333,11,22.9167,,,,,,,,,<10,12.5,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,English Learners,All Students,188,25,13.2979,26,13.8298,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,African American,Female,23,<10,<5%,<10,<5%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,Hispanic/Latino,Female,142,57,40.1409,64,45.0704,,,,,,,,,19,13.3803,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,Hispanic/Latino,All Students,269,54,20.0744,57,21.1896,,,,,,,,,29,10.7807,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,African American,Female,23,<10,26.087,<10,26.087,,,,,,,,,<10,13.0435,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,White,Male,<10,<10,37.5,<10,50,,,,,,,,,<10,25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,African American,All Students,72,12,16.6667,12,16.6667,,,,,,,,,<10,9.7222,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,White,Male,<10,<10,37.5,<10,37.5,,,,,,,,,<10,25,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,African American,All Students,72,<10,11.1111,10,13.8889,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,All Students,All Students,356,70,19.6629,73,20.5056,,,,,,,,,38,10.6742,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,White,Male,<10,<10,<5%,<10,12.5,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,African American,Male,49,14,28.5714,16,32.6531,,,,,,,,,<10,10.2041,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,American Indian or Alaska Native,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,African American,Male,49,<10,14.2857,<10,18.3674,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,Economically Disadvantaged,All Students,185,24,12.973,30,16.2162,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,English Learners,All Students,188,61,32.4468,72,38.2979,,,,,,,,,15,7.9787,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,Students With Disabilities,All Students,28,<10,21.4286,<10,25,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,Economically Disadvantaged,All Students,185,28,15.1351,31,16.7568,,,,,,,,,19,10.2703,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,Homeless,All Students,<10,<10,<5%,<10,50,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,Hispanic/Latino,All Students,269,105,39.0335,120,44.6097,,,,,,,,,36,13.3829,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,All Students,Male,184,34,18.4783,36,19.5652,,,,,,,,,19,10.3261,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,Hispanic/Latino,Female,142,30,21.1268,31,21.831,,,,,,,,,16,11.2676,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,All Students,Male,184,31,16.8478,40,21.7391,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,Hispanic/Latino,Female,142,27,19.0141,33,23.2394,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,All Students,Female,172,68,39.5349,75,43.6047,,,,,,,,,22,12.7907,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,White,All Students,14,<10,28.5714,<10,28.5714,,,,,,,,,<10,14.2857,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,White,All Students,14,<10,21.4286,<10,28.5714,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,African American,Male,49,<10,14.2857,<10,14.2857,,,,,,,,,<10,8.1633,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,American Indian or Alaska Native,All Students,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,All Students,All Students,356,133,37.3596,151,42.4157,,,,,,,,,46,12.9214,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,American Indian or Alaska Native,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,African American,Female,23,<10,21.7391,<10,21.7391,,,,,,,,,<10,13.0435,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,English Learners,All Students,188,36,19.1489,46,24.4681,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,American Indian or Alaska Native,Female,<10,<10,>95%,<10,>95%,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,White,All Students,14,<10,50,<10,57.1429,,,,,,,,,<10,14.2857,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,All Students,Male,184,65,35.3261,76,41.3044,,,,,,,,,24,13.0435,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,Homeless,All Students,<10,<10,<5%,<10,50,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,African American,All Students,72,20,27.7778,22,30.5556,,,,,,,,,<10,11.1111,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,All Students,Female,172,36,20.9302,37,21.5116,,,,,,,,,19,11.0465,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,All Students,All Students,356,63,17.6966,78,21.9101,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,Economically Disadvantaged,All Students,185,52,28.1081,61,32.973,,,,,,,,,20,10.8108,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,Students With Disabilities,All Students,28,<10,14.2857,<10,17.8571,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,Hispanic/Latino,Male,127,24,18.8976,26,20.4724,,,,,,,,,13,10.2362,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,Hispanic/Latino,All Students,269,51,18.9591,63,23.4201,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,Hispanic/Latino,Male,127,24,18.8976,30,23.6221,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,All,White,Female,<10,<10,66.6667,<10,66.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Four Year,White,Female,<10,<10,16.6667,<10,16.6667,,,,,,,,,<10,<5%,,,,,,,,
2015-2016,82000,Wayne RESA,82015,Detroit Public Schools Community District,4477,Western International High School,,LEA School,Two Year,White,Female,<10,<10,50,<10,50,,,,,,,,,<10,<5%,,,,,,,,
